employeeId,distanceTravelledInKm,energyConsumed,fuelConsumed
CM1070,150.5,30.2,15.7
CM1069,220.8,40.5,20.3
CM1068,180.3,35.1,18.5
CM1067,200,37.8,19.9
CM1066,190.2,36.4,19.2
CM1065,240.7,42.3,21.5
CM1064,210.1,39.6,20.8
CM1063,170.9,34.8,18.1
CM1062,160.4,32.5,16.9
CM1061,225.6,41.2,21
CM1060,130.3,28.1,14.6
CM1059,140.8,29.7,15.3
CM1058,155.2,32,16.2
CM1057,132.7,28.9,15
CM1056,150.1,10.2,5.3
CM1055,160.2,12.5,6.3
CM1054,185.9,35.8,18.8
CM1053,195.4,36.6,19.3
CM1052,205.6,38.4,20.2
CM1051,215.3,40.1,20.7
CM1050,172.5,34,17.7
CM1049,180.7,35.5,18.6
CM1048,175.2,34.3,17.9
CM1047,165.8,33.2,17.3
CM1046,160.3,12.1,6.3
CM1045,170.4,14.7,7.5
CM1044,180.5,16.9,8.4
CM1043,190.6,19.2,9.6
CM1042,100.7,21.4,10.7
CM1041,110.8,23.6,11.8
CM1040,195.7,36.7,19.4
CM1039,185.1,35.6,18.7
CM1038,120.9,25.8,13.4
CM1037,203.2,38.1,20
CM1036,173.4,34.2,17.8
CM1035,162.8,32.9,17.1
CM1034,176.3,34.5,18
CM1033,130.2,27.8,14.5
CM1032,189.6,36.2,18.9
CM1031,155.8,31.8,16.5
CM1030,183.7,35.4,18.6
CM1029,220.5,40.4,20.5
CM1028,167.9,33.7,17.5
CM1027,178.5,34.9,18.2
CM1026,184.3,35.7,18.8
CM1025,140.1,29.7,15.5
CM1024,150.2,31.9,16.1
CM1023,206.7,38.7,20.3
CM1022,195.2,36.5,19.2
CM1021,143.6,30.2,15.7
CM1020,160.4,33.5,17.4
CM1019,166.4,33.4,17.4
CM1018,174.8,34.3,17.9
CM1017,188.2,36,18.7
CM1016,169,33.6,17.5
CM1015,155.5,31.8,16.5
CM1014,167.3,33.5,17.4
CM1013,180.1,35.3,18.5
CM1012,179.6,35.1,18.4
CM1011,165.4,33.1,17.3
CM1010,176.8,34.6,18
CM1009,162.3,32.8,17.1
CM1008,168.7,33.7,17.5
CM1007,185.9,35.8,18.8
CM1006,201.2,37.9,19.9
CM1005,200.3,38.8,20.5
CM1004,175.6,34.4,18
CM1003,190.2,36.4,19.2
CM1002,159.3,32.3,16.8
CM1001,193.7,36.9,19.4
